3O,9818,AMS,580,NDR,5673,0,320
3O,9818,AMS,580,TNG,1080,0,320
4M,3201,JFK,3797,EZE,3988,0,777
4O,17885,JFK,3797,MEX,1824,0,320
4U,2548,AMS,580,HAM,342,0,CRJ
4U,2548,CDG,1382,HAM,342,0,319 CRJ
4U,2548,FCO,1555,CGN,344,0,319 320
4U,2548,FCO,1555,HAJ,352,0,319
4U,2548,FCO,1555,HAM,342,0,319
4U,2548,FCO,1555,STR,350,0,319
4U,2548,FCO,1555,TXL,351,0,319
4U,2548,LHR,507,CGN,344,0,319 320
4U,2548,LHR,507,HAM,342,0,319 CRJ
4U,2548,LHR,507,STR,350,0,319 320
4U,2548,LHR,507,TXL,351,0,319 320
6E,2850,BOM,2997,AMD,2994,0,320
6E,2850,BOM,2997,BBI,3042,0,320
6E,2850,BOM,2997,BDQ,3001,0,320
6E,2850,BOM,2997,BLR,3131,0,320
6E,2850,BOM,2997,CCU,3043,0,320
6E,2850,BOM,2997,CJB,3135,0,320
6E,2850,BOM,2997,COK,3136,0,320
6E,2850,BOM,2997,DEL,3093,0,320
6E,2850,BOM,2997,DXB,2188,0,320
6E,2850,BOM,2997,GAU,6173,0,320
6E,2850,BOM,2997,GOI,3007,0,320
6E,2850,BOM,2997,HYD,3141,0,320
6E,2850,BOM,2997,IDR,3008,0,320
6E,2850,BOM,2997,IXC,3089,0,320
6E,2850,BOM,2997,IXJ,3100,0,320
6E,2850,BOM,2997,JAI,3098,0,320
6E,2850,BOM,2997,LKO,3105,0,320
6E,2850,BOM,2997,MAA,3144,0,320
6E,2850,BOM,2997,MCT,2194,0,320
6E,2850,BOM,2997,NAG,3015,0,320
6E,2850,BOM,2997,PAT,3061,0,320
6E,2850,BOM,2997,SXR,3112,0,320
6E,2850,BOM,2997,TRV,3153,0,320
6H,2954,FCO,1555,TLV,1590,0,320
6H,2954,SXF,337,TLV,1590,0,320
7F,2354,YUL,146,YVP,154,0,73M
8Q,3788,CDG,1382,IST,1701,0,320
8U,32,FCO,1555,TIP,1157,0,320
9E,3976,JFK,3797,MSY,3861,0,CR9
9E,3976,LGA,3697,MSY,3861,0,CR9
9U,1073,FCO,1555,KIV,1735,0,E90
9W,3000,BOM,2997,AMD,2994,0,738
9W,3000,BOM,2997,AUH,2179,0,73H 320
9W,3000,BOM,2997,BAH,2057,0,73H
9W,3000,BOM,2997,BDQ,3001,0,73W 738 73H
9W,3000,BOM,2997,BHJ,2999,0,73H
9W,3000,BOM,2997,BHO,3002,0,73G
9W,3000,BOM,2997,BHU,3003,0,73G
9W,3000,BOM,2997,BKK,3885,0,73H 739
9W,3000,BOM,2997,BLR,3131,0,738 73W 739 73H
9W,3000,BOM,2997,BRU,302,0,332 333
9W,3000,BOM,2997,CCJ,3137,0,738
9W,3000,BOM,2997,CCU,3043,0,73H 738
9W,3000,BOM,2997,CJB,3135,0,738
9W,3000,BOM,2997,CMB,3024,0,73H
9W,3000,BOM,2997,COK,3136,0,73H
9W,3000,BOM,2997,DAC,3076,0,739 73H
9W,3000,BOM,2997,DEL,3093,0,739 73H 738
9W,3000,BOM,2997,DIU,5711,0,AT7
9W,3000,BOM,2997,DMM,2064,0,73H
9W,3000,BOM,2997,DOH,2241,0,73H
9W,3000,BOM,2997,DXB,2188,0,73H
9W,3000,BOM,2997,GOI,3007,0,73H
9W,3000,BOM,2997,HKG,3077,0,77W
9W,3000,BOM,2997,HYD,3141,0,738 73H
9W,3000,BOM,2997,IDR,3008,0,73H 73G
9W,3000,BOM,2997,IXC,3089,0,738
9W,3000,BOM,2997,IXE,3143,0,73H
9W,3000,BOM,2997,IXU,2996,0,738
9W,3000,BOM,2997,JAI,3098,0,73W
9W,3000,BOM,2997,JDH,3097,0,73H
9W,3000,BOM,2997,JED,2072,0,739
9W,3000,BOM,2997,JNB,813,0,332
9W,3000,BOM,2997,KTM,3125,0,73H 739
9W,3000,BOM,2997,KUL,3304,0,772
9W,3000,BOM,2997,KWI,2176,0,73H
9W,3000,BOM,2997,LHR,507,0,77W
9W,3000,BOM,2997,LKO,3105,0,73H
9W,3000,BOM,2997,MAA,3144,0,738 73H
9W,3000,BOM,2997,MCT,2194,0,73H
9W,3000,BOM,2997,NAG,3015,0,73G
9W,3000,BOM,2997,NBO,4059,0,772
9W,3000,BOM,2997,NRT,2279,0,737
9W,3000,BOM,2997,PNQ,3017,0,738
9W,3000,BOM,2997,RAJ,3019,0,73G
9W,3000,BOM,2997,RPR,3020,0,738
9W,3000,BOM,2997,RUH,2082,0,739 73H
9W,3000,BOM,2997,SIN,3316,0,73H
9W,3000,BOM,2997,TRV,3153,0,73H
9W,3000,BOM,2997,UDR,3023,0,73H 73G
9W,3000,BOM,2997,VTZ,3066,0,738
9W,3000,LHR,507,BOM,2997,0,77W
9W,3000,LHR,507,DEL,3093,0,77W
A3,96,CDG,1382,ATH,3941,0,321 320
A3,96,CDG,1382,HER,1452,0,320
A3,96,CDG,1382,RHO,1472,0,320
A3,96,CDG,1382,SKG,1486,0,320
A3,96,FCO,1555,ATH,3941,0,320
A3,96,LHR,507,ATH,3941,0,321 320
A5,1203,AMS,580,CFE,1330,0,ER4
A5,1203,AMS,580,SXB,1435,0,ER4 CR7 E70
A5,1203,FCO,1555,BOD,1264,0,E70 E90 CR7
A5,1203,FCO,1555,LYS,1335,0,CRK
A5,1203,FCO,1555,SXB,1435,0,ER4 CR7
A9,2538,AMS,580,TBS,3973,0,735
A9,2538,CDG,1382,TBS,3973,0,735
AA,24,AMS,580,LHR,507,0,320 767 321 319
AA,24,AMS,580,PHL,3752,0,757
AA,24,BOM,2997,LHR,507,0,777
AA,24,CDG,1382,CLT,3876,0,333
AA,24,CDG,1382,DFW,3670,0,763 777
AA,24,CDG,1382,JFK,3797,0,763 757
AA,24,CDG,1382,KUL,3304,0,380
AA,24,CDG,1382,LHR,507,0,319 320 321
AA,24,CDG,1382,MIA,3576,0,763
AA,24,CDG,1382,ORD,3830,0,763
AA,24,CDG,1382,PHL,3752,0,332
AA,24,FCO,1555,CLT,3876,0,333
AA,24,FCO,1555,JFK,3797,0,763
AA,24,FCO,1555,LHR,507,0,321 767 319 320
